protocol,metric,n,mean,sd,ci95_low,ci95_high
meshtastic-like,unicast_pdr,20,0.4039029,0.112266647,0.351361095,0.456444705
meshtastic-like,destination_unicast_pdr,20,0.98122225,0.023542788,0.970204013,0.992240487
meshtastic-like,broadcast_coverage,20,0.0,0.0,0.0,0.0
meshtastic-like,avg_delay_s,20,0.67338965,0.256621588,0.55328843,0.79349087
meshtastic-like,mean_delivery_delay_s,20,0.73021725,0.132650419,0.668135656,0.792298844
meshtastic-like,unicast_delivery_delay_s,20,0.73021725,0.132650419,0.668135656,0.792298844
meshtastic-like,unicast_ack_delay_s,20,0.67338965,0.256621588,0.55328843,0.79349087
meshtastic-like,p95_unicast_delivery_delay_s,20,1.6161783,0.331613679,1.460980105,1.771376495
meshtastic-like,p95_unicast_ack_delay_s,20,1.6548253,0.399751714,1.467737889,1.841912711
meshtastic-like,tx_count,20,706.85,115.600161628,652.748080756,760.951919244
meshtastic-like,data_tx,20,649.4,109.374970677,598.21152632,700.58847368
meshtastic-like,control_tx,20,57.45,8.67224854,53.391309393,61.508690607
meshtastic-like,ack_tx,20,57.45,8.67224854,53.391309393,61.508690607
meshtastic-like,total_airtime_s,20,50.8479616,8.315813227,46.956085937,54.739837263
meshtastic-like,channel_busy_time_s,20,27.39422965,4.222522636,25.418050937,29.370408363
meshtastic-like,channel_busy_ratio,20,0.04565705,0.007037528,0.042363423,0.048950677
meshtastic-like,tx_energy_j,20,20.13579285,3.293062141,18.594610039,21.676975661
meshtastic-like,rx_energy_j,20,81.762343,13.275211071,75.549424374,87.975261626
meshtastic-like,total_energy_j,20,101.89813585,16.567495951,94.144398179,109.651873521
meshtastic-like,energy_per_delivery_j,20,6.4583209,2.279093654,5.391684495,7.524957305
meshtastic-like,airtime_per_delivery_s,20,3.2243071,1.14504535,2.688415539,3.760198661
meshtastic-like,rx_attempts,20,34630.75,5654.172133315,31984.546397491,37276.953602509
meshtastic-like,packet_reception_ratio,20,0.2558112,0.024778993,0.244214408,0.267407992
meshtastic-like,collision_fail,20,22959.35,4115.054879406,21033.467166995,24885.232833005
meshtastic-like,collision_rate,20,0.6617666,0.020672318,0.652091769,0.671441431
meshtastic-like,duplicate_rx,20,5112.55,731.614471023,4770.147822772,5454.952177228
