protocol,metric,n,mean,sd,ci95_low,ci95_high
meshtastic-like,unicast_pdr,20,0.85328755,0.047202569,0.831196321,0.875378779
meshtastic-like,destination_unicast_pdr,20,0.95344725,0.028698891,0.94001591,0.96687859
meshtastic-like,broadcast_coverage,20,0.9419047,0.029068018,0.928300605,0.955508795
meshtastic-like,avg_delay_s,20,0.65494505,0.135950985,0.591318762,0.718571338
meshtastic-like,mean_delivery_delay_s,20,0.52529875,0.134410841,0.462393263,0.588204237
meshtastic-like,unicast_delivery_delay_s,20,0.5880983,0.173168235,0.507054003,0.669142597
meshtastic-like,unicast_ack_delay_s,20,0.65494505,0.135950985,0.591318762,0.718571338
meshtastic-like,p95_unicast_delivery_delay_s,20,2.40462765,1.476186431,1.713759074,3.095496226
meshtastic-like,p95_unicast_ack_delay_s,20,1.44996925,1.046331608,0.960276611,1.939661889
meshtastic-like,tx_count,20,4768.25,336.777745702,4610.634974686,4925.865025314
meshtastic-like,data_tx,20,4700.55,329.778151107,4546.210848147,4854.889151853
meshtastic-like,control_tx,20,67.7,10.790346563,62.650020397,72.749979603
meshtastic-like,ack_tx,20,67.7,10.790346563,62.650020397,72.749979603
meshtastic-like,total_airtime_s,20,1176.727808,83.111359195,1137.830941593,1215.624674407
meshtastic-like,channel_busy_time_s,20,171.8278796,13.395070703,165.558865584,178.096893616
meshtastic-like,channel_busy_ratio,20,0.1431898,0.011162641,0.137965583,0.148414017
meshtastic-like,tx_energy_j,20,465.984212,32.912098284,450.581052883,481.387371117
meshtastic-like,rx_energy_j,20,1540.5092096,108.318912621,1489.814980624,1591.203438576
meshtastic-like,total_energy_j,20,2006.49342155,141.133457231,1940.441689457,2072.545153643
meshtastic-like,energy_per_delivery_j,20,0.71075495,0.0899815,0.668642796,0.752867104
meshtastic-like,airtime_per_delivery_s,20,0.41682595,0.052819476,0.392105958,0.441545942
meshtastic-like,rx_attempts,20,233592.8,16551.983330357,225846.322375207,241339.277624793
meshtastic-like,packet_reception_ratio,20,0.04873155,0.002020857,0.047785771,0.049677329
meshtastic-like,collision_fail,20,122780.4,8620.335653497,118746.005092439,126814.794907561
meshtastic-like,collision_rate,20,0.52569425,0.008146226,0.521881743,0.529506757
meshtastic-like,duplicate_rx,20,2883.45,333.119462529,2727.547084237,3039.352915763
meshtastic-like,suppressed_forwards,20,1876.3,182.281476958,1790.990623203,1961.609376797
meshtastic-like,route_cache_hits,20,0.0,0.0,0.0,0.0
meshtastic-like,route_cache_misses,20,0.0,0.0,0.0,0.0
meshtastic-like,fallback_forward_count,20,0.0,0.0,0.0,0.0
meshtastic-like,route_repair_count,20,0.0,0.0,0.0,0.0
meshtastic-like,mean_path_confidence,20,0.0,0.0,0.0,0.0
meshtastic-like,control_overhead_ratio,20,0.0141659,0.001789304,0.01332849,0.01500331
meshtastic-like,policy_switch_count,20,0.0,0.0,0.0,0.0
meshtastic-like,policy_update_count,20,0.0,0.0,0.0,0.0
meshtastic-like,policy_reward_total,20,0.0,0.0,0.0,0.0
meshtastic-like,active_profile_index,20,-1.0,0.0,-1.0,-1.0
meshcore-like,unicast_pdr,20,0.65045715,0.15202383,0.579308625,0.721605675
meshcore-like,destination_unicast_pdr,20,0.6749368,0.156347912,0.601764566,0.748109034
meshcore-like,broadcast_coverage,20,0.95821775,0.028154922,0.945040992,0.971394508
