protocol,metric,n,mean,sd,ci95_low,ci95_high
meshtastic-like,unicast_pdr,20,0.55405275,0.076492778,0.518253439,0.589852061
meshtastic-like,destination_unicast_pdr,20,0.99185265,0.014060982,0.985271983,0.998433317
meshtastic-like,broadcast_coverage,20,0.0,0.0,0.0,0.0
meshtastic-like,avg_delay_s,20,0.52359125,0.120761846,0.467073616,0.580108884
meshtastic-like,mean_delivery_delay_s,20,0.6525196,0.106288349,0.602775693,0.702263507
meshtastic-like,unicast_delivery_delay_s,20,0.6525196,0.106288349,0.602775693,0.702263507
meshtastic-like,unicast_ack_delay_s,20,0.52359125,0.120761846,0.467073616,0.580108884
meshtastic-like,p95_unicast_delivery_delay_s,20,1.4207022,0.152618553,1.349275339,1.492129061
meshtastic-like,p95_unicast_ack_delay_s,20,1.58866635,0.236952585,1.477770401,1.699562299
meshtastic-like,tx_count,20,641.35,99.906416737,594.592895043,688.107104957
meshtastic-like,data_tx,20,584.45,92.018004531,541.384743169,627.515256831
meshtastic-like,control_tx,20,56.9,9.656740215,52.380558401,61.419441599
meshtastic-like,ack_tx,20,56.9,9.656740215,52.380558401,61.419441599
meshtastic-like,total_airtime_s,20,46.1361536,7.186867994,42.772634498,49.499672702
meshtastic-like,channel_busy_time_s,20,26.49084275,3.940995977,24.646421055,28.335264445
meshtastic-like,channel_busy_ratio,20,0.0441514,0.006568317,0.041077369,0.047225431
meshtastic-like,tx_energy_j,20,18.2699169,2.84599979,16.937963305,19.601870495
meshtastic-like,rx_energy_j,20,74.4595491,11.564113202,69.047439724,79.871658476
meshtastic-like,total_energy_j,20,92.7294658,14.40966491,85.985612536,99.473319064
meshtastic-like,energy_per_delivery_j,20,3.97415875,0.563673608,3.710354413,4.237963087
meshtastic-like,airtime_per_delivery_s,20,1.9773907,0.282079714,1.845374847,2.109406553
meshtastic-like,rx_attempts,20,31423.7,4892.362943243,29134.029975823,33713.370024177
meshtastic-like,packet_reception_ratio,20,0.298196,0.021456106,0.288154349,0.308237651
meshtastic-like,collision_fail,20,19155.85,3280.075982352,17620.744828748,20690.955171252
meshtastic-like,collision_rate,20,0.6083717,0.020943758,0.598569832,0.618173568
